Player,Team,Position,Possessions Won in Final 3rd per 90,Possessions Won Midfield per 90,Tackles per 90,Tackle Success Rate (%),Chances Created,Chances Created per 90,Accurate Long Balls per 90,Successful Long Balls (%),Minutes,Matches,Big Chances Missed,Clearances per 90,Total Clearances,Expected Goals (xG),Actual Goals,Fouls Committed per 90,Interceptions per 90,Total Interceptions,Penalties Conceded,Clean Sheets,Goals Conceded,Expected Assists (xA),Actual Assists,Expected Goals on Target (xGOT),Goals Conceded per 90,Shots on Target per 90,Shot Accuracy (%),Penalties Won,Fouls Won per 90,Red Cards,Secondary Assists,Shots per 90,Shot Conversion Rate (%),Accurate Passes per 90,Pass Success (%),Penalties,Yellow Cards,Successful Dribbles per 90,Dribble Success Rate (%),Expected Assists per 90,Actual Assists per 90,Expected Goals per 90,Goals per 90,Blocks per 90,Total Blocks,FotMob Rating,Player of the Match Awards,Saves per 90,Total Saves,Country
andre anderson,Lazio,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andre-frank zambo anguissa,Napoli,C,0.6,3.4,1.1,54.1,38.0,1.2,1.2,56.3,2792.0,34.0,5.0,0.5,17.0,3.6,0.0,1.3,0.9,28.0,,,,3.0,2.0,1.3,,0.2,18.2,,,,3.0,1.1,0.0,51.1,88.0,,2.0,0.8,44.6,0.1,0.1,0.11,0.0,0.2,5.0,7.09,0.0,,,CMR
andrea bartoccioni,AC Milan,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrea belotti,Fiorentina,A,0.4,0.8,0.4,43.8,13.0,0.7,0.2,57.1,1624.0,29.0,8.0,0.3,6.0,6.1,6.0,1.6,0.2,4.0,,,,1.5,2.0,6.7,,0.9,35.4,2.0,2.6,,1.5,2.7,12.5,13.5,70.7,0.0,1.0,0.4,47.1,0.08,0.1,0.34,0.33,0.1,1.0,6.76,1.0,,,ITA
andrea cambiaso,Juventus,D,0.5,1.7,1.1,63.8,38.0,1.4,1.5,84.8,2387.0,34.0,3.0,0.8,22.0,2.2,2.0,1.3,0.4,11.0,,,,3.8,3.0,2.8,,0.3,27.6,1.0,0.8,,3.8,1.1,6.9,34.7,87.6,0.0,10.0,1.0,49.1,0.14,0.1,0.08,0.08,0.1,3.0,7.0,1.0,,,ITA
andrea carboni,Monza,D,,,1.3,57.9,9.0,0.5,2.4,43.5,1490.0,21.0,3.0,3.2,53.0,1.2,1.0,0.7,1.0,17.0,,,,0.4,0.0,1.5,,0.2,22.2,,,,,1.1,5.6,48.3,86.9,0.0,1.0,0.2,50.0,0.02,0.0,0.07,0.06,0.8,13.0,6.9,1.0,,,ITA
andrea colpani,Monza,C,0.6,1.1,0.5,60.0,56.0,1.9,2.0,66.7,2683.0,38.0,5.0,0.4,12.0,4.8,8.0,0.8,0.5,14.0,,,,4.6,4.0,6.1,,0.6,29.2,,,,4.6,2.2,12.3,23.7,82.7,0.0,1.0,0.9,41.2,0.15,0.1,0.16,0.27,0.1,4.0,6.92,3.0,,,ITA
andrea consigli,Sassuolo,P,,,,,,,,,,,,1.0,34.0,,,,0.0,1.0,,3.0,68.0,0.1,0.0,,1.9,,,,,,,,,19.9,63.9,,1.0,,,0.0,0.0,,,,,6.4,1.0,2.7,95.0,ITA
andrea ferraris,Monza,A,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ITA
andrea petagna,Cagliari,A,,,,,18.0,1.6,,,,,1.0,,,1.6,1.0,,,,1.0,,,1.1,1.0,2.1,,,,,,,1.1,,,,,0.0,2.0,,,,,,,,,,,,,ITA
andrea pinamonti,Sassuolo,A,0.5,1.2,0.2,61.5,18.0,0.5,0.3,37.0,3100.0,38.0,3.0,1.1,39.0,8.9,11.0,0.6,0.0,1.0,,,,2.2,1.0,8.0,,0.6,26.5,1.0,1.5,,2.2,2.4,13.3,11.9,66.3,2.0,4.0,0.3,42.9,0.06,0.0,0.26,0.32,0.1,2.0,6.62,0.0,,,ITA
andres sfait,Salernitana,A,,,,,1.0,4.3,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ROU
angelino,Roma,D,,,,,19.0,1.5,,,,,,,,0.2,0.0,,,,,,,1.5,1.0,0.4,,,,,,,1.5,,,,,,2.0,,,,,,,,,,,,,ESP
anthony oyono,Frosinone,D,,,,,10.0,0.8,,,,,,,,0.2,0.0,,,,,,,0.7,1.0,0.1,,,,,,,0.7,,,,,,4.0,,,,,,,,,,,,,GAB
antoine makoumbou,Cagliari,C,0.3,2.5,0.8,58.5,14.0,0.5,2.7,68.4,2707.0,32.0,,0.8,24.0,0.9,1.0,0.9,0.5,16.0,,,,0.9,0.0,1.0,,0.1,25.0,,,2.0,,0.3,12.5,35.0,88.9,0.0,3.0,0.7,70.0,0.03,0.0,0.03,0.03,0.1,4.0,6.62,0.0,,,CGO
antonin barak,Fiorentina,C,1.6,1.5,0.2,33.3,14.0,1.6,1.6,87.5,802.0,21.0,1.0,0.4,4.0,1.5,2.0,0.9,0.2,2.0,,,,1.5,3.0,2.6,,0.9,40.0,,,,1.5,2.2,10.0,37.1,86.2,0.0,2.0,0.4,33.3,0.17,0.3,0.17,0.22,,,,,,,CZE
antonino gallo,Lecce,D,0.1,2.2,1.0,62.8,47.0,1.7,2.9,40.3,2500.0,35.0,1.0,1.9,53.0,0.5,0.0,0.3,0.9,25.0,,,,3.1,3.0,1.1,,0.1,20.0,,,,3.1,0.5,0.0,27.5,75.4,,2.0,0.7,48.7,0.11,0.1,0.02,0.0,0.3,9.0,6.87,2.0,,,ITA
antonino viola,Lecce,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antonio candreva,Salernitana,C,0.2,1.3,0.4,72.2,60.0,2.0,2.3,57.4,2757.0,34.0,3.0,0.7,20.0,4.9,6.0,0.4,0.2,7.0,,,,4.1,6.0,4.9,,0.7,32.3,,,,4.1,2.1,9.2,30.4,81.7,1.0,5.0,0.5,41.7,0.13,0.2,0.16,0.2,,,7.05,4.0,,,ITA
