Giocatore,Giornata,Pred_Gol_Pesata
andrea colpani,G5,0.18
nikola krstovic,G5,0.18
victor osimhen,G5,0.18
houssem aouar,G5,0.144
giovanni di lorenzo,G5,0.144
boulaye dia,G5,0.144
ondrej duda,G5,0.144
denzel dumfries,G5,0.144
alfred duncan,G5,0.144
lewis ferguson,G5,0.144
theo hernandez,G5,0.144
ilario monterisi,G5,0.144
hamza rafia,G5,0.144
lazar samardzic,G5,0.144
perr schuurs,G5,0.144
duvan zapata,G5,0.144
pontus almqvist,G5,0.13
cristiano biraghi,G5,0.13
davide biraschi,G5,0.13
federico bonazzoli,G5,0.13
charles de ketelaere,G5,0.13
federico di francesco,G5,0.13
ciro immobile,G5,0.13
rolando mandragora,G5,0.13
adrien rabiot,G5,0.13
nadir zortea,G5,0.13
andrea belotti,G5,0.12
antonio candreva,G5,0.12
abdou harroui,G5,0.12
nicolas gonzalez,G5,0.12
christian pulisic,G5,0.12
danilo,G5,0.0989
ederson,G5,0.0989
giovanni fabbian,G5,0.0989
daichi kamada,G5,0.0989
zito luvumbo,G5,0.0989
leonardo spinazzola,G5,0.0989
gabriel strefezza,G5,0.0989
piotr zielinski,G5,0.0989
joshua zirkzee,G5,0.0989
federico gatti,G5,0.0486
alessandro bastoni,G5,0.0486
andrea carboni,G5,0.0486
tammy abraham,G5,0.0486
francesco acerbi,G5,0.0486
yacine adli,G5,0.0486
alex sandro,G5,0.0486
amir rrahmani,G5,0.0486
marko arnautovic,G5,0.0486
arthur,G5,0.0486
kristjan asllani,G5,0.0486
tommaso augello,G5,0.0486
sardar azmoun,G5,0.0486
milan badelj,G5,0.0486
jaime baez,G5,0.0486
nedim bajrami,G5,0.0486
mitchel bakker,G5,0.0486
tommaso baldanzi,G5,0.0486
lameck banda,G5,0.0486
antonin barak,G5,0.0486
nicolo barella,G5,0.0486
raoul bellanova,G5,0.0486
lucas beltran,G5,0.0486
ismael bennacer,G5,0.0486
sam beukema,G5,0.0486
yann aurel bisseck,G5,0.0486
warren bondo,G5,0.0486
josip brekalo,G5,0.0486
gleison bremer,G5,0.0486
marco brescianini,G5,0.0486
tajon buchanan,G5,0.0486
jovane cabral,G5,0.0486
riccardo calafiori,G5,0.0486
luca caldirola,G5,0.0486
nicolo cambiaghi,G5,0.0486
andrea cambiaso,G5,0.0486
matteo cancellieri,G5,0.0486
francesco caputo,G5,0.0486
valentin castellanos,G5,0.0486
santiago castro,G5,0.0486
gaetano castrovilli,G5,0.0486
danilo cataldi,G5,0.0486
leonardo cerri,G5,0.0486
samuel chukwueze,G5,0.0486
lorenzo colombo,G5,0.0486
diego coppola,G5,0.0486
marvin cuni,G5,0.0486
dany mota,G5,0.0486
matteo darmian,G5,0.0486
keinan davis,G5,0.0486
lorenzo de silvestri,G5,0.0486
stefan de vrij,G5,0.0486
gregoire defrel,G5,0.0486
alessandro deiola,G5,0.0486
federico dimarco,G5,0.0486
milan djuric,G5,0.0486
patrick dorgu,G5,0.0486
alberto dossena,G5,0.0486
radu dragusin,G5,0.0486
caleb ekuban,G5,0.0486
oussama el azzouzi,G5,0.0486
stephan el shaarawy,G5,0.0486
eljif elmas,G5,0.0486
martin erlic,G5,0.0486
federico fazio,G5,0.0486
jacopo fazzini,G5,0.0486
felipe anderson,G5,0.0486
gian marco ferrari,G5,0.0486
alessandro florenzi,G5,0.0486
michael folorunsho,G5,0.0486
morten frendrup,G5,0.0486
remo freuler,G5,0.0486
matteo gabbia,G5,0.0486
gianluca gaetano,G5,0.0486
roberto gagliardini,G5,0.0486
valentin gendrey,G5,0.0486
lautaro gianetti,G5,0.0486
albert gudmundsson,G5,0.0486
matteo guendouzi,G5,0.0486
emmanuel quartsin gyasi,G5,0.0486
thomas henry,G5,0.0486
emil holm,G5,0.0486
dean huijsen,G5,0.0486
jonathan ikone,G5,0.0486
chukwubuikem ikwuemesi,G5,0.0486
ivan ilic,G5,0.0486
samuel iling-junior,G5,0.0486
gustav isaksen,G5,0.0486
jakub jankto,G5,0.0486
luka jovic,G5,0.0486
juan jesus,G5,0.0486
christian kabasele,G5,0.0486
kaio jorge,G5,0.0486
hassane kamara,G5,0.0486
grigoris kastanos,G5,0.0486
michael kayode,G5,0.0486
kingstone mutandwa,G5,0.0486
sead kolasinac,G5,0.0486
viktor kovalenko,G5,0.0486
khvicha kvaratskhelia,G5,0.0486
luca ranieri,G5,0.0486
gianluca lapadula,G5,0.0486
armand lauriente,G5,0.0486
darko lazovic,G5,0.0486
diego llorente,G5,0.0486
manuel locatelli,G5,0.0486
ruben loftus-cheek,G5,0.0486
lorenzo pellegrini,G5,0.0486
sandi lovric,G5,0.0486
luca pellegrini,G5,0.0486
lorenzo lucca,G5,0.0486
sebastiano luperto,G5,0.0486
charalambos lykogiannis,G5,0.0486
giulio maggiore,G5,0.0486
daniel maldini,G5,0.0486
ruslan malinovsky,G5,0.0486
mirko maric,G5,0.0486
agustin martegani,G5,0.0486
adam marusic,G5,0.0486
matheus henrique,G5,0.0486
mathias olivera,G5,0.0486
junior messias,G5,0.0486
arkadiusz milik,G5,0.0486
yerry mina,G5,0.0486
aleksey miranchuk,G5,0.0486
fabio miretti,G5,0.0486
nikola moro,G5,0.0486
luis muriel,G5,0.0486
nahitan nandez,G5,0.0486
dan ndoye,G5,0.0486
m'baye niang,G5,0.0486
tijjani noslin,G5,0.0486
m'bala nzola,G5,0.0486
jens odgaard,G5,0.0486
noah okafor,G5,0.0486
gaetano oristanio,G5,0.0486
riccardo orsolini,G5,0.0486
remi oudin,G5,0.0486
leandro paredes,G5,0.0486
mario pasalic,G5,0.0486
patric,G5,0.0486
leonardo pavoletti,G5,0.0486
martin payero,G5,0.0486
pedro rodriguez,G5,0.0486
pietro pellegri,G5,0.0486
roberto pereyra,G5,0.0486
nehuen perez,G5,0.0486
matteo pessina,G5,0.0486
andrea petagna,G5,0.0486
roberto piccoli,G5,0.0486
niccolo pierozzi,G5,0.0486
stefan posch,G5,0.0486
matteo prati,G5,0.0486
rasmus kristensen,G5,0.0486
uros racic,G5,0.0486
ylber ramadani,G5,0.0486
tijjani reijnders,G5,0.0486
reinier,G5,0.0486
samuele ricci,G5,0.0486
ricardo rodriguez,G5,0.0486
simone romagnoli,G5,0.0486
daniele rugani,G5,0.0486
simone bastoni,G5,0.0486
alexis saelemaekers,G5,0.0486
junior sambia,G5,0.0486
antonio sanabria,G5,0.0486
alexis sanchez,G5,0.0486
nicola sansone,G5,0.0486
zanos savva,G5,0.0486
giorgio scalvini,G5,0.0486
eldor shomurodov,G5,0.0486
giovanni simeone,G5,0.0486
jan-carlo simic,G5,0.0486
simy,G5,0.0486
riccardo sottil,G5,0.0486
matias soule,G5,0.0486
isaac success,G5,0.0486
ibrahim sulemana,G5,0.0486
tomas suslov,G5,0.0486
karol swiderski,G5,0.0486
loum tchaouna,G5,0.0486
florian thauvin,G5,0.0486
morten thorsby,G5,0.0486
kristian thorstvedt,G5,0.0486
fikayo tomori,G5,0.0486
el bilal toure,G5,0.0486
chaka traore,G5,0.0486
valentin carboni,G5,0.0486
johan vasquez,G5,0.0486
matias vecino,G5,0.0486
nicolas viola,G5,0.0486
mattia viti,G5,0.0486
vitor oliveira,G5,0.0486
nikola vlasic,G5,0.0486
cristian volpato,G5,0.0486
walace,G5,0.0486
shon weissman,G5,0.0486
kenan yildiz,G5,0.0486
mattia zaccagni,G5,0.0486
gabriele zappa,G5,0.0486
davide zappacosta,G5,0.0486
oier zarraga,G5,0.0486
jordan zemura,G5,0.0486
szymon zurkowski,G5,0.0486
leo ostigard,G5,0.0486
andrea pinamonti,G6,0.59
nikola krstovic,G6,0.43
paulo dybala,G6,0.4
luca mazzitelli,G6,0.4
henrikh mkhitaryan,G6,0.4
dusan vlahovic,G6,0.38
victor osimhen,G6,0.355
domenico berardi,G6,0.32
lautaro martinez,G6,0.3
abdou harroui,G6,0.2727
nicolas gonzalez,G6,0.2727
christian pulisic,G6,0.2727
ciro immobile,G6,0.26
cyril ngonge,G6,0.26
matteo politano,G6,0.2512
hakan calhanoglu,G6,0.2473
luis alberto,G6,0.2473
marcus thuram,G6,0.2473
federico chiesa,G6,0.24
olivier giroud,G6,0.24
mateo retegui,G6,0.2229
ademola lookman,G6,0.22
romelu lukaku,G6,0.22
lucas martinez quarta,G6,0.22
duvan zapata,G6,0.2177
andrea belotti,G6,0.1978
antonio candreva,G6,0.1978
giacomo bonaventura,G6,0.18
andrea colpani,G6,0.18
nemanja radonjicc,G6,0.18
rafael leao,G6,0.18
pontus almqvist,G6,0.14
cristiano biraghi,G6,0.14
davide biraschi,G6,0.14
federico bonazzoli,G6,0.14
charles de ketelaere,G6,0.14
federico di francesco,G6,0.14
rolando mandragora,G6,0.14
adrien rabiot,G6,0.14
nadir zortea,G6,0.14
danilo,G6,0.1378
ederson,G6,0.1378
giovanni fabbian,G6,0.1378
daichi kamada,G6,0.1378
zito luvumbo,G6,0.1378
leonardo spinazzola,G6,0.1378
gabriel strefezza,G6,0.1378
piotr zielinski,G6,0.1378
joshua zirkzee,G6,0.1378
jovane cabral,G6,0.1373
federico dimarco,G6,0.1373
roberto gagliardini,G6,0.1373
armand lauriente,G6,0.1373
remi oudin,G6,0.1373
mario pasalic,G6,0.1373
simone romagnoli,G6,0.1373
houssem aouar,G6,0.1313
giovanni di lorenzo,G6,0.1313
boulaye dia,G6,0.1313
ondrej duda,G6,0.1313
denzel dumfries,G6,0.1313
alfred duncan,G6,0.1313
lewis ferguson,G6,0.1313
theo hernandez,G6,0.1313
ilario monterisi,G6,0.1313
hamza rafia,G6,0.1313
lazar samardzic,G6,0.1313
perr schuurs,G6,0.1313
mattia bani,G6,0.1228
alessandro buongiorno,G6,0.1228
walid cheddira,G6,0.1228
bryan cristante,G6,0.1228
davide frattesi,G6,0.1228
teun koopmeiners,G6,0.1228
christian kouame,G6,0.1228
pol lirola,G6,0.1228
gianluca mancini,G6,0.1228
giacomo raspadori,G6,0.1228
renato sanches,G6,0.1228
gianluca scamacca,G6,0.12
federico gatti,G6,0.0486
alessandro bastoni,G6,0.0486
andrea carboni,G6,0.0486
tammy abraham,G6,0.0486
francesco acerbi,G6,0.0486
yacine adli,G6,0.0486
alex sandro,G6,0.0486
amir rrahmani,G6,0.0486
marko arnautovic,G6,0.0486
arthur,G6,0.0486
kristjan asllani,G6,0.0486
tommaso augello,G6,0.0486
sardar azmoun,G6,0.0486
milan badelj,G6,0.0486
jaime baez,G6,0.0486
nedim bajrami,G6,0.0486
mitchel bakker,G6,0.0486
tommaso baldanzi,G6,0.0486
lameck banda,G6,0.0486
antonin barak,G6,0.0486
nicolo barella,G6,0.0486
raoul bellanova,G6,0.0486
lucas beltran,G6,0.0486
ismael bennacer,G6,0.0486
sam beukema,G6,0.0486
yann aurel bisseck,G6,0.0486
warren bondo,G6,0.0486
josip brekalo,G6,0.0486
gleison bremer,G6,0.0486
marco brescianini,G6,0.0486
tajon buchanan,G6,0.0486
riccardo calafiori,G6,0.0486
luca caldirola,G6,0.0486
nicolo cambiaghi,G6,0.0486
andrea cambiaso,G6,0.0486
matteo cancellieri,G6,0.0486
francesco caputo,G6,0.0486
valentin castellanos,G6,0.0486
santiago castro,G6,0.0486
gaetano castrovilli,G6,0.0486
danilo cataldi,G6,0.0486
leonardo cerri,G6,0.0486
samuel chukwueze,G6,0.0486
lorenzo colombo,G6,0.0486
diego coppola,G6,0.0486
marvin cuni,G6,0.0486
dany mota,G6,0.0486
matteo darmian,G6,0.0486
keinan davis,G6,0.0486
lorenzo de silvestri,G6,0.0486
stefan de vrij,G6,0.0486
gregoire defrel,G6,0.0486
alessandro deiola,G6,0.0486
milan djuric,G6,0.0486
patrick dorgu,G6,0.0486
alberto dossena,G6,0.0486
radu dragusin,G6,0.0486
caleb ekuban,G6,0.0486
oussama el azzouzi,G6,0.0486
stephan el shaarawy,G6,0.0486
eljif elmas,G6,0.0486
martin erlic,G6,0.0486
federico fazio,G6,0.0486
jacopo fazzini,G6,0.0486
felipe anderson,G6,0.0486
gian marco ferrari,G6,0.0486
alessandro florenzi,G6,0.0486
michael folorunsho,G6,0.0486
morten frendrup,G6,0.0486
remo freuler,G6,0.0486
matteo gabbia,G6,0.0486
gianluca gaetano,G6,0.0486
valentin gendrey,G6,0.0486
lautaro gianetti,G6,0.0486
albert gudmundsson,G6,0.0486
matteo guendouzi,G6,0.0486
emmanuel quartsin gyasi,G6,0.0486
thomas henry,G6,0.0486
emil holm,G6,0.0486
dean huijsen,G6,0.0486
jonathan ikone,G6,0.0486
chukwubuikem ikwuemesi,G6,0.0486
ivan ilic,G6,0.0486
samuel iling-junior,G6,0.0486
gustav isaksen,G6,0.0486
jakub jankto,G6,0.0486
luka jovic,G6,0.0486
juan jesus,G6,0.0486
christian kabasele,G6,0.0486
kaio jorge,G6,0.0486
hassane kamara,G6,0.0486
grigoris kastanos,G6,0.0486
michael kayode,G6,0.0486
kingstone mutandwa,G6,0.0486
sead kolasinac,G6,0.0486
viktor kovalenko,G6,0.0486
khvicha kvaratskhelia,G6,0.0486
luca ranieri,G6,0.0486
gianluca lapadula,G6,0.0486
darko lazovic,G6,0.0486
diego llorente,G6,0.0486
manuel locatelli,G6,0.0486
ruben loftus-cheek,G6,0.0486
lorenzo pellegrini,G6,0.0486
sandi lovric,G6,0.0486
luca pellegrini,G6,0.0486
lorenzo lucca,G6,0.0486
sebastiano luperto,G6,0.0486
charalambos lykogiannis,G6,0.0486
giulio maggiore,G6,0.0486
daniel maldini,G6,0.0486
ruslan malinovsky,G6,0.0486
mirko maric,G6,0.0486
agustin martegani,G6,0.0486
adam marusic,G6,0.0486
matheus henrique,G6,0.0486
mathias olivera,G6,0.0486
junior messias,G6,0.0486
arkadiusz milik,G6,0.0486
yerry mina,G6,0.0486
aleksey miranchuk,G6,0.0486
fabio miretti,G6,0.0486
nikola moro,G6,0.0486
luis muriel,G6,0.0486
nahitan nandez,G6,0.0486
dan ndoye,G6,0.0486
m'baye niang,G6,0.0486
tijjani noslin,G6,0.0486
m'bala nzola,G6,0.0486
jens odgaard,G6,0.0486
noah okafor,G6,0.0486
gaetano oristanio,G6,0.0486
riccardo orsolini,G6,0.0486
leandro paredes,G6,0.0486
patric,G6,0.0486
leonardo pavoletti,G6,0.0486
martin payero,G6,0.0486
pedro rodriguez,G6,0.0486
pietro pellegri,G6,0.0486
roberto pereyra,G6,0.0486
nehuen perez,G6,0.0486
matteo pessina,G6,0.0486
andrea petagna,G6,0.0486
roberto piccoli,G6,0.0486
niccolo pierozzi,G6,0.0486
stefan posch,G6,0.0486
matteo prati,G6,0.0486
rasmus kristensen,G6,0.0486
uros racic,G6,0.0486
ylber ramadani,G6,0.0486
tijjani reijnders,G6,0.0486
reinier,G6,0.0486
samuele ricci,G6,0.0486
