Giocatore,Giornata,Team,Role,Score,Prob_Gol,Pred_Gol_Pesata,GolUlt3,Score_norm,GolUlt3_norm,Score_Composito,Etichetta
malick thiaw,G38,AC Milan,D,7.783791103621634,0.0,0.0,0,0.7783791103621633,0.0,0.3891895551810816,0.0
matteo gabbia,G38,AC Milan,D,0.6653662223286194,0.0475,0.1028,1,0.0665366222328619,0.3333333333333333,0.1450249777830976,0.0
mattia caldara,G38,AC Milan,D,0.6289077991873252,0.0,0.0,0,0.0628907799187325,0.0,0.0314453899593662,0.0
pierre kalulu,G38,AC Milan,D,0.6367203184318881,0.0,0.0,0,0.0636720318431888,0.0,0.0318360159215944,0.0
simon kjr,G38,AC Milan,D,7.151062264218666,0.0,0.0,0,0.7151062264218666,0.0,0.3575531132109333,0.0
theo hernandez,G38,AC Milan,D,8.617644532326231,0.1476,0.1111,0,0.8617644532326232,0.0,0.5084922266163115,1.0
berat djimsiti,G38,Atalanta,D,8.511483157677478,0.0,0.0,0,0.8511483157677479,0.0,0.4255741578838739,0.0
emil holm,G38,Atalanta,D,5.2456772126018665,0.0219,0.0611,0,0.5245677212601867,0.0,0.2871838606300933,0.0
giorgio scalvini,G38,Atalanta,D,7.94651731312706,0.0219,0.0611,0,0.7946517313127061,0.0,0.422225865656353,0.0
giovanni bonfanti,G38,Atalanta,D,0.7317726359074052,0.0,0.0,0,0.0731772635907405,0.0,0.0365886317953702,0.0
hans hateboer,G38,Atalanta,D,6.068035780713746,0.0,0.0,0,0.6068035780713746,0.0,0.3034017890356873,0.0
isak hien,G38,Atalanta,D,7.594731336010501,0.0,0.0,0,0.7594731336010501,0.0,0.379736566800525,0.0
jose luis palomino,G38,Atalanta,D,0.7304705493666446,0.0,0.0,0,0.0730470549366644,0.0,0.0365235274683322,0.0
matteo ruggeri,G38,Atalanta,D,7.3791469233828995,0.0,0.0,0,0.73791469233829,0.0,0.368957346169145,0.0
mitchel bakker,G38,Atalanta,D,0.76953314558946,0.0219,0.0611,0,0.076953314558946,0.0,0.063376657279473,0.0
rafael toloi,G38,Atalanta,D,0.5937514625867915,0.0,0.0,0,0.0593751462586791,0.0,0.0296875731293395,0.0
sead kolasinac,G38,Atalanta,D,7.524615117971723,0.0219,0.0611,0,0.7524615117971722,0.0,0.4011307558985861,0.0
adama soumaoro,G38,Bologna,D,0.8867209342579054,0.0,0.0,0,0.0886720934257905,0.0,0.0443360467128952,0.0
charalambos lykogiannis,G38,Bologna,D,6.339405603763447,0.0219,0.0611,0,0.6339405603763447,0.0,0.3418702801881723,0.0
jhon lucumi,G38,Bologna,D,9.72241772662444,0.0,0.0,0,0.972241772662444,0.0,0.486120886331222,1.0
lorenzo de silvestri,G38,Bologna,D,0.9947941171410276,0.0475,0.0736,0,0.0994794117141027,0.0,0.0860697058570513,0.0
mihajlo ilic,G38,Bologna,D,0.8867209342579054,0.0,0.0,0,0.0886720934257905,0.0,0.0443360467128952,0.0
riccardo calafiori,G38,Bologna,D,9.86333894871479,0.1758,0.1028,2,0.986333894871479,0.6666666666666666,0.7100802807690728,1.0
sam beukema,G38,Bologna,D,8.608735646061627,0.0219,0.0611,0,0.8608735646061627,0.0,0.4553367823030813,1.0
stefan posch,G38,Bologna,D,8.350961345151035,0.0219,0.0753,1,0.8350961345151034,0.3333333333333333,0.5133747339242184,1.0
tommaso corazza,G38,Bologna,D,0.8710958957687793,0.0,0.0,0,0.0871095895768779,0.0,0.0435547947884389,0.0
victor kristiansen,G38,Bologna,D,8.183824831470309,0.0,0.0,0,0.8183824831470309,0.0,0.4091912415735154,0.0
adam obert,G38,Cagliari,D,0.2539068754482989,0.0,0.0,0,0.0253906875448298,0.0,0.0126953437724149,0.0
