Player,Team,Score,Role
youssef maleh,Empoli,4.60950224076004,C
reinier,Frosinone,4.603497514652185,C
nikola moro,Bologna,4.525944488037703,C
manuel lazzari,Lazio,4.500337894150118,C
kevin strootman,Genoa,4.444744840054523,C
fabio miretti,Juventus,4.432896102724298,C
michael folorunsho,Verona,4.430749068692927,C
kacper urbanski,Bologna,4.425946937535791,C
matteo prati,Cagliari,4.322342363278718,C
lassana coulibaly,Salernitana,4.2841864731392585,C
joan gonzalez,Lecce,4.267975395289502,C
jacopo fazzini,Empoli,4.195318731867274,C
mohamed kaba,Lecce,4.154481106207489,C
jens-lys cajuste,Napoli,4.151743522624434,C
suat serdar,Verona,4.146367750610848,C
alexis blin,Lecce,4.14332321866978,C
gabriel strefezza,Lecce,4.139890959239084,C
warren bondo,Monza,4.139024789727004,C
martin payero,Udinese,4.123479815732578,C
ylber ramadani,Lecce,4.112758962427168,C
timothy weah,Juventus,4.099402286262943,C
morten thorsby,Genoa,4.077748274733006,C
alberto grassi,Empoli,4.0675161074040975,C
hamza rafia,Lecce,3.936898267465148,C
ibrahim sulemana,Cagliari,3.9219479982005527,C
gaetano oristanio,Cagliari,3.897394104297538,C
nicola zalewski,Roma,3.873978688066596,C
karol linetty,Torino,3.85431362866672,C
uros racic,Sassuolo,3.852327782635176,C
jesper lindstrm,Napoli,3.77706076224793,C
jean-daniel akpa-akpro,Monza,3.44364215039701,C
alessandro deiola,Cagliari,3.409035605203178,C
mateusz legowski,Salernitana,3.293745703196102,C
abdou harroui,Frosinone,1.1034639194197575,C
houssem aouar,Roma,0.6458134210476904,C
nicolo fagioli,Juventus,0.607542996096716,C
juan cuadrado,Inter,0.5628941669872463,C
junior sambia,Salernitana,0.5597049649079984,C
jakub jankto,Cagliari,0.5007047264419131,C
arijon ibrahimovic,Frosinone,0.4959209233230413,C
gaetano castrovilli,Fiorentina,0.4943263222834173,C
viktor kovalenko,Empoli,0.4911371202041695,C
simone bastoni,Empoli,0.4735965087683064,C
toma basic,Salernitana,0.4688127056494344,C
hans nicolussi caviglia,Juventus,0.4241638765399646,C
oussama el azzouzi,Bologna,0.4177854723814689,C
szymon zurkowski,Empoli,0.3683528401531271,C
martin hongla,Verona,0.3524068297568878,C
eljif elmas,Napoli,0.34921762767764,C
agustin martegani,Salernitana,0.326893213122905,C
hamed traore,Napoli,0.3205148089644093,C
gvidas gineitis,Torino,0.2981903944096743,C
oier zarraga,Udinese,0.2806497829738111,C
