Player,Team,Score_D_normalizzato
Lautaro Gianetti,Udinese,0.3606779717906606
Ahmed Touba,Lecce,0.3398445871384924
Lorenzo Venuti,Lecce,0.33203206789392936
Emanuele Valeri,Frosinone,0.33072998135316883
Kevin Bonifazi,Frosinone,0.3164070294048032
Sergio Kalaj,Frosinone,0.31380285632328225
Przemyslaw Szyminski,Frosinone,0.31380285632328225
Anthony Oyono,Frosinone,0.2838548658857905
Mateus Lusuardi,Frosinone,0.26302148123362246
Elio Capradossi,Cagliari,0.261719394692862
Giorgio Altare,Cagliari,0.261719394692862
Natan,Napoli,0.2617193946928619
Adam Obert,Cagliari,0.25390687544829893
Pantelis Hatzidiakos,Cagliari,0.23177140425537024
Alessandro Di Pardo,Cagliari,0.2304693177146098
Yerry Mina,Cagliari,0.22916723117384927
Matias Vina,Sassuolo,0.2018234138178786
Gerardo Fusco,Salernitana,0.18880254841027355
Edoardo Goldaniga,Cagliari,0.17447959646190797
Filippo Missori,Sassuolo,0.17187542338038694
Kevin Miranda,Sassuolo,0.1575524714320214
Mattia Viti,Sassuolo,0.13411491369833226
Jerome Boateng,Salernitana,0.11197944250540362
Konstantinos Manolas,Salernitana,0.1093752694238826
Dylan Bronn,Salernitana,0.1054690098016011
Emanuele Elia,Salernitana,0.1054690098016011
Marash Kumbulla,Sassuolo,0.1054690098016011
Flavius Daniliuc,Salernitana,0.06640641357878585
Marco Pellegrino,Salernitana,0.0559897212527018
Triantafyllos Pasalidis,Salernitana,0.035156336600533696
Niccolo Pierozzi,Salernitana,0.006510432703802535
Federico Fazio,Salernitana,0.0
