Giocatore,Giornata,Team,Role,Score,Prob_Gol,Pred_Gol_Pesata
franz stolz,G5,Genoa,P,0.0,0.0,0.0
gianluca pegolo,G5,Sassuolo,P,0.0,0.0,0.0
giacomo toniolo,G5,Verona,P,0.0,0.0,0.0
simone aresti,G5,Cagliari,P,0.0,0.0,0.0
antonio mirante,G5,AC Milan,P,0.0,0.0,0.0
alexandru borbei,G5,Lecce,P,0.0,0.0,0.0
alessandro berardi,G5,Verona,P,0.0,0.0,0.0
tommaso vannucchi,G5,Fiorentina,P,0.0,0.0,0.0
tommaso martinelli,G5,Fiorentina,P,0.0,0.0,0.0
andrea bartoccioni,G5,AC Milan,P,0.0,0.0,0.0
stefano gori,G5,Monza,P,0.0,0.0,0.0
jasper samooja,G5,Lecce,P,0.0,0.0,0.0
lapo nava,G5,AC Milan,P,0.0,0.0,0.0
hubert idasiak,G5,Napoli,P,0.0,0.0,0.0
lorenzo torriani,G5,AC Milan,P,0.0,0.0,0.0
vanja milinkovic-savic,G6,Torino,P,10.0,0.0,0.0
yann sommer,G6,Inter,P,9.941126241517232,0.0,0.0
wojciech szczesny,G6,Juventus,P,8.7465731877219,0.0,0.0
michele di gregorio,G6,Monza,P,8.336254550357287,0.0,0.0
lukasz skorupski,G6,Bologna,P,8.150195496831603,0.0,0.0
mike maignan,G6,AC Milan,P,7.2239449912363485,0.0,0.0
ivan provedel,G6,Lazio,P,7.020808053570625,0.0,0.0
marco carnesecchi,G6,Atalanta,P,6.906655880634578,0.0,0.0
josep martinez,G6,Genoa,P,6.847332704148128,0.0,0.0
pietro terracciano,G6,Fiorentina,P,6.720596827108893,0.0,0.0
lorenzo montipo,G6,Verona,P,6.697227090917261,0.0,0.0
wladimiro falcone,G6,Lecce,P,6.397465282459216,0.0,0.0
elia caprile,G6,Empoli,P,6.204215540874567,0.0,0.0
rui patricio,G6,Roma,P,5.942654262729764,0.0,0.0
maduka okoye,G6,Udinese,P,5.898611298368613,0.0,0.0
alex meret,G6,Napoli,P,5.569637319671027,0.0,0.0
stefano turati,G6,Frosinone,P,5.078872859646755,0.0,0.0
