Player,Team,Role,Score_norm,Prob_Gol,Pred_Gol_Pesata,Etichetta_Predetta,Etichetta_Tattica
adam masina,Torino,D,0.6883690278339765,0.0,0.0,non consigliato,Leader difensivo
hassane kamara,Udinese,D,0.6871374291008643,0.0213,0.0611,non consigliato,Stopper
radu dragusin,Genoa,D,0.6867182714528568,0.0463,0.0736,non consigliato,Leader difensivo
domagoj bradaric,Salernitana,D,0.6857367634409743,0.0,0.0,non consigliato,Libero
martin erlic,Sassuolo,D,0.6787276709338567,0.0213,0.0611,non consigliato,Leader difensivo
joao ferreira,Udinese,D,0.6761606872714296,0.0,0.0,non consigliato,Stopper
tommaso augello,Cagliari,D,0.6746085950384821,0.0213,0.0611,non consigliato,Libero
leonardo spinazzola,Roma,D,0.6736114353372167,0.0213,0.0611,non consigliato,Libero
bartosz bereszynski,Empoli,D,0.6639543214132272,0.0,0.0,non consigliato,Libero
pedro pereira,Monza,D,0.6607693377818447,0.0,0.0,non consigliato,Libero
gian marco ferrari,Sassuolo,D,0.6584827075654534,0.0213,0.0611,non consigliato,Regista difensivo
diego coppola,Verona,D,0.6583032480590638,0.0463,0.0736,non consigliato,Leader difensivo
mattia bani,Genoa,D,0.6548788962495147,0.0463,0.0736,non consigliato,Regista difensivo
gabriele zappa,Cagliari,D,0.6522191801664897,0.0213,0.0611,non consigliato,Libero
jeremy toljan,Sassuolo,D,0.6520620198439282,0.0,0.0,non consigliato,Libero
ruan tressoldi,Sassuolo,D,0.6502189011163992,0.0,0.0,non consigliato,Leader difensivo
pol lirola,Frosinone,D,0.6493775590402681,0.0463,0.0736,non consigliato,Libero
rasmus kristensen,Roma,D,0.6474366201095471,0.0213,0.0611,non consigliato,Libero
lorenzo pirola,Salernitana,D,0.644252722819372,0.0,0.0,non consigliato,Leader difensivo
juan cabal,Verona,D,0.6364828627726462,0.0,0.0,non consigliato,Stopper
nadir zortea,Frosinone,D,0.6350066139079728,0.0347,0.105,non consigliato,Terzino offensivo
patrick dorgu,Lecce,D,0.6347285600533714,0.0463,0.0736,non consigliato,Libero
