Giocatore,Giornata,Prob_Gol
andrea colpani,G5,0.2218
diego coppola,G5,0.0
bryan cristante,G5,0.1109
marvin cuni,G5,0.0
danilo,G5,0.1664
dany mota,G5,0.0
matteo darmian,G5,0.0
keinan davis,G5,0.0
charles de ketelaere,G5,0.1109
lorenzo de silvestri,G5,0.0
stefan de vrij,G5,0.0
gregoire defrel,G5,0.0
alessandro deiola,G5,0.0
federico di francesco,G5,0.1109
giovanni di lorenzo,G5,0.1664
boulaye dia,G5,0.1664
federico dimarco,G5,0.0
milan djuric,G5,0.0
patrick dorgu,G5,0.0
alberto dossena,G5,0.0
radu dragusin,G5,0.0
ondrej duda,G5,0.1664
denzel dumfries,G5,0.1664
alfred duncan,G5,0.1664
paulo dybala,G5,0.1758
ederson,G5,0.1664
caleb ekuban,G5,0.0
oussama el azzouzi,G5,0.0
stephan el shaarawy,G5,0.0
eljif elmas,G5,0.0
martin erlic,G5,0.0
giovanni fabbian,G5,0.1664
federico fazio,G5,0.0
jacopo fazzini,G5,0.0
felipe anderson,G5,0.0
lewis ferguson,G5,0.1664
gian marco ferrari,G5,0.0
alessandro florenzi,G5,0.0
michael folorunsho,G5,0.0
davide frattesi,G5,0.1109
morten frendrup,G5,0.0
remo freuler,G5,0.0
matteo gabbia,G5,0.0
gianluca gaetano,G5,0.0
roberto gagliardini,G5,0.0
valentin gendrey,G5,0.0
lautaro gianetti,G5,0.0
olivier giroud,G5,0.2575
albert gudmundsson,G5,0.0
matteo guendouzi,G5,0.0
emmanuel quartsin gyasi,G5,0.0
abdou harroui,G5,0.1758
thomas henry,G5,0.0
theo hernandez,G5,0.1664
emil holm,G5,0.0
dean huijsen,G5,0.0
jonathan ikone,G5,0.0
chukwubuikem ikwuemesi,G5,0.0
ivan ilic,G5,0.0
samuel iling-junior,G5,0.0
ciro immobile,G5,0.1109
gustav isaksen,G5,0.0
jakub jankto,G5,0.0
luka jovic,G5,0.0
juan jesus,G5,0.0
christian kabasele,G5,0.0
kaio jorge,G5,0.0
daichi kamada,G5,0.1664
hassane kamara,G5,0.0
grigoris kastanos,G5,0.0
michael kayode,G5,0.0
kingstone mutandwa,G5,0.0
sead kolasinac,G5,0.0
teun koopmeiners,G5,0.1109
christian kouame,G5,0.1109
viktor kovalenko,G5,0.0
nikola krstovic,G5,0.4436
khvicha kvaratskhelia,G5,0.0
luca ranieri,G5,0.0
gianluca lapadula,G5,0.0
armand lauriente,G5,0.0
lautaro martinez,G5,0.2867
darko lazovic,G5,0.0
pol lirola,G5,0.1109
diego llorente,G5,0.0
manuel locatelli,G5,0.0
ruben loftus-cheek,G5,0.0
ademola lookman,G5,0.1109
lorenzo pellegrini,G5,0.0
sandi lovric,G5,0.0
luca pellegrini,G5,0.0
lorenzo lucca,G5,0.0
luis alberto,G5,0.2637
romelu lukaku,G5,0.1109
sebastiano luperto,G5,0.0
zito luvumbo,G5,0.1664
charalambos lykogiannis,G5,0.0
giulio maggiore,G5,0.0
daniel maldini,G5,0.0
ruslan malinovsky,G5,0.0
gianluca mancini,G5,0.1109
rolando mandragora,G5,0.1109
mirko maric,G5,0.0
agustin martegani,G5,0.0
lucas martinez quarta,G5,0.1109
adam marusic,G5,0.0
matheus henrique,G5,0.0
mathias olivera,G5,0.0
luca mazzitelli,G5,0.1758
junior messias,G5,0.0
arkadiusz milik,G5,0.0
yerry mina,G5,0.0
aleksey miranchuk,G5,0.0
fabio miretti,G5,0.0
henrikh mkhitaryan,G5,0.1758
ilario monterisi,G5,0.1664
nikola moro,G5,0.0
luis muriel,G5,0.0
nahitan nandez,G5,0.0
dan ndoye,G5,0.0
cyril ngonge,G5,0.2637
m'baye niang,G5,0.0
nicolas gonzalez,G5,0.1758
tijjani noslin,G5,0.0
m'bala nzola,G5,0.0
jens odgaard,G5,0.0
noah okafor,G5,0.0
gaetano oristanio,G5,0.0
riccardo orsolini,G5,0.0
victor osimhen,G5,0.2218
remi oudin,G5,0.0
leandro paredes,G5,0.0
mario pasalic,G5,0.0
patric,G5,0.0
leonardo pavoletti,G5,0.0
martin payero,G5,0.0
pedro rodriguez,G5,0.0
pietro pellegri,G5,0.0
roberto pereyra,G5,0.0
nehuen perez,G5,0.0
matteo pessina,G5,0.0
andrea petagna,G5,0.0
roberto piccoli,G5,0.0
niccolo pierozzi,G5,0.0
andrea pinamonti,G5,0.2218
matteo politano,G5,0.1758
stefan posch,G5,0.0
matteo prati,G5,0.0
christian pulisic,G5,0.1758
rasmus kristensen,G5,0.0
adrien rabiot,G5,0.1109
uros racic,G5,0.0
nemanja radonjicc,G5,0.2218
rafael leao,G5,0.2637
hamza rafia,G5,0.1664
ylber ramadani,G5,0.0
giacomo raspadori,G5,0.1109
tijjani reijnders,G5,0.0
reinier,G5,0.0
renato sanches,G5,0.1109
mateo retegui,G5,0.1758
samuele ricci,G5,0.0
ricardo rodriguez,G5,0.0
simone romagnoli,G5,0.0
daniele rugani,G5,0.0
simone bastoni,G5,0.0
alexis saelemaekers,G5,0.0
lazar samardzic,G5,0.1664
junior sambia,G5,0.0
antonio sanabria,G5,0.0
alexis sanchez,G5,0.0
nicola sansone,G5,0.0
zanos savva,G5,0.0
giorgio scalvini,G5,0.0
gianluca scamacca,G5,0.2637
perr schuurs,G5,0.1664
eldor shomurodov,G5,0.0
giovanni simeone,G5,0.0
jan-carlo simic,G5,0.0
simy,G5,0.0
riccardo sottil,G5,0.0
matias soule,G5,0.0
leonardo spinazzola,G5,0.1664
gabriel strefezza,G5,0.1664
isaac success,G5,0.0
ibrahim sulemana,G5,0.0
tomas suslov,G5,0.0
karol swiderski,G5,0.0
loum tchaouna,G5,0.0
florian thauvin,G5,0.0
morten thorsby,G5,0.0
kristian thorstvedt,G5,0.0
marcus thuram,G5,0.2637
fikayo tomori,G5,0.0
el bilal toure,G5,0.0
chaka traore,G5,0.0
valentin carboni,G5,0.0
johan vasquez,G5,0.0
matias vecino,G5,0.0
nicolas viola,G5,0.0
mattia viti,G5,0.0
vitor oliveira,G5,0.0
dusan vlahovic,G5,0.2575
nikola vlasic,G5,0.0
cristian volpato,G5,0.0
walace,G5,0.0
shon weissman,G5,0.0
kenan yildiz,G5,0.0
mattia zaccagni,G5,0.0
duvan zapata,G5,0.1664
gabriele zappa,G5,0.0
davide zappacosta,G5,0.0
oier zarraga,G5,0.0
jordan zemura,G5,0.0
piotr zielinski,G5,0.1664
joshua zirkzee,G5,0.1664
nadir zortea,G5,0.1109
szymon zurkowski,G5,0.0
leo ostigard,G5,0.0
federico gatti,G6,0.0
alessandro bastoni,G6,0.0
andrea carboni,G6,0.0
tammy abraham,G6,0.0
francesco acerbi,G6,0.0
yacine adli,G6,0.0
alex sandro,G6,0.0
pontus almqvist,G6,0.0924
amir rrahmani,G6,0.0
houssem aouar,G6,0.1386
marko arnautovic,G6,0.0
arthur,G6,0.0
kristjan asllani,G6,0.0
tommaso augello,G6,0.0
sardar azmoun,G6,0.0
milan badelj,G6,0.0
jaime baez,G6,0.0
nedim bajrami,G6,0.0
mitchel bakker,G6,0.0
tommaso baldanzi,G6,0.0
lameck banda,G6,0.0
mattia bani,G6,0.1386
antonin barak,G6,0.0
nicolo barella,G6,0.0
raoul bellanova,G6,0.0
andrea belotti,G6,0.1465
lucas beltran,G6,0.0
ismael bennacer,G6,0.0
domenico berardi,G6,0.2218
sam beukema,G6,0.0
cristiano biraghi,G6,0.0924
davide biraschi,G6,0.0924
yann aurel bisseck,G6,0.0
giacomo bonaventura,G6,0.3327
federico bonazzoli,G6,0.0924
warren bondo,G6,0.0
josip brekalo,G6,0.0
gleison bremer,G6,0.0
marco brescianini,G6,0.0
tajon buchanan,G6,0.0
alessandro buongiorno,G6,0.1386
jovane cabral,G6,0.1109
riccardo calafiori,G6,0.0
luca caldirola,G6,0.0
hakan calhanoglu,G6,0.2637
nicolo cambiaghi,G6,0.0
andrea cambiaso,G6,0.0
matteo cancellieri,G6,0.0
antonio candreva,G6,0.1465
francesco caputo,G6,0.0
valentin castellanos,G6,0.0
santiago castro,G6,0.0
gaetano castrovilli,G6,0.0
danilo cataldi,G6,0.0
leonardo cerri,G6,0.0
walid cheddira,G6,0.1386
federico chiesa,G6,0.4292
samuel chukwueze,G6,0.0
lorenzo colombo,G6,0.0
andrea colpani,G6,0.4436
diego coppola,G6,0.0
bryan cristante,G6,0.1386
marvin cuni,G6,0.0
danilo,G6,0.1386
dany mota,G6,0.0
matteo darmian,G6,0.0
keinan davis,G6,0.0
charles de ketelaere,G6,0.0924
lorenzo de silvestri,G6,0.0
stefan de vrij,G6,0.0
gregoire defrel,G6,0.0
alessandro deiola,G6,0.0
federico di francesco,G6,0.0924
giovanni di lorenzo,G6,0.1386
boulaye dia,G6,0.1386
federico dimarco,G6,0.1109
milan djuric,G6,0.0
patrick dorgu,G6,0.0
alberto dossena,G6,0.0
radu dragusin,G6,0.0
ondrej duda,G6,0.1386
denzel dumfries,G6,0.1386
alfred duncan,G6,0.1386
paulo dybala,G6,0.2197
ederson,G6,0.1386
caleb ekuban,G6,0.0
oussama el azzouzi,G6,0.0
stephan el shaarawy,G6,0.0
eljif elmas,G6,0.0
martin erlic,G6,0.0
giovanni fabbian,G6,0.1386
federico fazio,G6,0.0
jacopo fazzini,G6,0.0
felipe anderson,G6,0.0
lewis ferguson,G6,0.1386
gian marco ferrari,G6,0.0
alessandro florenzi,G6,0.0
michael folorunsho,G6,0.0
davide frattesi,G6,0.1386
morten frendrup,G6,0.0
remo freuler,G6,0.0
matteo gabbia,G6,0.0
gianluca gaetano,G6,0.0
roberto gagliardini,G6,0.1109
valentin gendrey,G6,0.0
lautaro gianetti,G6,0.0
olivier giroud,G6,0.2575
albert gudmundsson,G6,0.0
matteo guendouzi,G6,0.0
emmanuel quartsin gyasi,G6,0.0
abdou harroui,G6,0.1758
thomas henry,G6,0.0
theo hernandez,G6,0.1386
emil holm,G6,0.0
dean huijsen,G6,0.0
jonathan ikone,G6,0.0
chukwubuikem ikwuemesi,G6,0.0
ivan ilic,G6,0.0
samuel iling-junior,G6,0.0
ciro immobile,G6,0.1758
gustav isaksen,G6,0.0
jakub jankto,G6,0.0
luka jovic,G6,0.0
juan jesus,G6,0.0
christian kabasele,G6,0.0
