Giocatore,Team,Role,Score_norm,Prob_Gol,Pred_Gol_Pesata,Etichetta_Predetta
mario rui,Napoli,D,0.6932105815486654,0.0,0.0,non consigliato
ilario monterisi,Frosinone,D,0.6912791151071648,0.0463,0.0736,non consigliato
simone romagnoli,Frosinone,D,0.6898804254207093,0.0213,0.0611,non consigliato
adam masina,Torino,D,0.6883690278339765,0.0,0.0,non consigliato
hassane kamara,Udinese,D,0.6871374291008643,0.0213,0.0611,non consigliato
radu dragusin,Genoa,D,0.6867182714528568,0.0463,0.0736,non consigliato
domagoj bradaric,Salernitana,D,0.6857367634409743,0.0,0.0,non consigliato
martin erlic,Sassuolo,D,0.6787276709338567,0.0213,0.0611,non consigliato
joao ferreira,Udinese,D,0.6761606872714296,0.0,0.0,non consigliato
tommaso augello,Cagliari,D,0.6746085950384821,0.0213,0.0611,non consigliato
leonardo spinazzola,Roma,D,0.6736114353372167,0.0213,0.0611,non consigliato
bartosz bereszynski,Empoli,D,0.6639543214132272,0.0,0.0,non consigliato
pedro pereira,Monza,D,0.6607693377818447,0.0,0.0,non consigliato
gian marco ferrari,Sassuolo,D,0.6584827075654534,0.0213,0.0611,non consigliato
diego coppola,Verona,D,0.6583032480590638,0.0463,0.0736,non consigliato
mattia bani,Genoa,D,0.6548788962495147,0.0463,0.0736,non consigliato
gabriele zappa,Cagliari,D,0.6522191801664897,0.0213,0.0611,non consigliato
jeremy toljan,Sassuolo,D,0.6520620198439282,0.0,0.0,non consigliato
ruan tressoldi,Sassuolo,D,0.6502189011163992,0.0,0.0,non consigliato
pol lirola,Frosinone,D,0.6493775590402681,0.0463,0.0736,non consigliato
rasmus kristensen,Roma,D,0.6474366201095471,0.0213,0.0611,non consigliato
lorenzo pirola,Salernitana,D,0.644252722819372,0.0,0.0,non consigliato
juan cabal,Verona,D,0.6364828627726462,0.0,0.0,non consigliato
nadir zortea,Frosinone,D,0.6350066139079728,0.0347,0.105,non consigliato
patrick dorgu,Lecce,D,0.6347285600533714,0.0463,0.0736,non consigliato
liberato cacace,Empoli,D,0.6343392399849546,0.0,0.0,non consigliato
charalambos lykogiannis,Bologna,D,0.6339405603763447,0.0213,0.0611,non consigliato
marcus holmgren pedersen,Sassuolo,D,0.6129507286303051,0.0,0.0,non consigliato
pasquale mazzocchi,Napoli,D,0.6125828168443989,0.0,0.0,non consigliato
mateusz wieteska,Cagliari,D,0.611594490010895,0.0,0.0,non consigliato
hans hateboer,Atalanta,D,0.6068035780713746,0.0,0.0,non consigliato
alessandro vogliacco,Genoa,D,0.5939004918484693,0.0,0.0,non consigliato
filippo terracciano,AC Milan,D,0.5935084064325161,0.0,0.0,non consigliato
marco davide faraoni,Verona,D,0.5908289065024308,0.0,0.0,non consigliato
norbert gyomber,Salernitana,D,0.5880740505347071,0.0,0.0,non consigliato
luca pellegrini,Lazio,D,0.5765148508763369,0.0213,0.0611,non consigliato
aaron caricol,Genoa,D,0.560883295609056,0.0,0.0,non consigliato
paulo azzi,Cagliari,D,0.5589455014838396,0.0,0.0,non consigliato
